년도,팀,영문국가명,예선_승률,예선_골득실률,순위,승점
2014,우루과이,Uruguay,0.48,1.5714285714285714,12,6
2014,그리스,Greece,0.48,1.2727272727272727,13,5
2014,알제리,Algeria,0.64,2.183673469387755,14,4
2014,미국,United States,0.57,1.4594594594594594,15,4
2014,나이지리아,Nigeria,0.48,1.9814814814814807,16,4
2014,에콰도르,Ecuador,0.43,1.3375,17,4
2014,포르투갈,Portugal,0.57,2.2131147540983607,18,4
2014,크로아티아,Croatia,0.58,2.36,19,3
2014,보스니아 헤르체고비나,Bosnia and Herzegovina,0.57,1.6666666666666667,20,3
2014,코트디부아르,Ivory Coast,0.46,1.967741935483871,21,3
2014,이탈리아,Italy,0.5,1.4857142857142858,22,3
2014,스페인,Spain,0.59,3.7857142857142856,23,3
2014,러시아,Russia,0.52,2.1,24,2
2014,가나,Ghana,0.44,1.9104477611940296,25,1
2014,잉글랜드,England,0.62,2.588235294117647,26,1
2014,대한민국,South Korea,0.5,1.6746987951807228,27,1
2014,이란,Iran,0.57,3.769230769230769,28,1
2014,일본,Japan,0.65,2.453125,29,1
2014,호주,Australia,0.51,1.973684210526316,30,0
2014,온두라스,Honduras,0.45,0.9444444444444444,31,0
2014,카메룬,Cameroon,0.47,1.490566037735849,32,0
2018,프랑스,France,0.69,2.2580645161290325,1,19
2018,크로아티아,Croatia,0.52,1.5588235294117647,2,14
2018,벨기에,Belgium,0.76,3.2777777777777777,3,18
2018,잉글랜드,England,0.66,2.840909090909091,4,10
2018,우루과이,Uruguay,0.44,1.4821428571428572,5,12
2018,브라질,Brazil,0.7,4.6,6,10
2018,스웨덴,Sweden,0.42,1.4857142857142858,7,9
2018,러시아,Russia,0.46,1.3421052631578947,8,8
2018,콜롬비아,Colombia,0.46,1.4736842105263157,9,7
2018,스페인,Spain,0.6,3.707317073170732,10,6
2018,덴마크,Denmark,0.5,2.1555555555555554,11,6
2018,멕시코,Mexico,0.49,1.776470588235294,12,6
2018,포르투갈,Portugal,0.64,3.065217391304348,13,5
2018,스위스,Switzerland,0.56,2.037037037037037,14,5
2018,일본,Japan,0.54,2.224489795918368,15,4
2018,아르헨티나,Argentina,0.45,2.4705882352941178,16,4
2018,세네갈,Senegal,0.61,2.735294117647059,17,4
2018,이란,Iran,0.59,3.823529411764706,18,4
2018,대한민국,South Korea,0.53,2.048387096774193,19,3
2018,페루,Peru,0.36,1.1139240506329111,20,3
2018,나이지리아,Nigeria,0.43,1.5490196078431373,21,3
2018,독일,Germany,0.54,2.149253731343284,22,3
2018,세르비아,Serbia,0.45,1.3529411764705883,23,3
2018,튀니지,Tunisia,0.52,1.6551724137931034,24,3
2018,폴란드,Poland,0.52,1.9642857142857144,25,3
2018,사우디아라비아,Saudi Arabia,0.46,1.4594594594594594,26,3
2018,모로코,Morocco,0.52,2.575757575757576,27,1
2018,아이슬란드,Iceland,0.44,0.9541284403669724,28,1
2018,코스타리카,Costa Rica,0.33,0.9625,29,1
2018,호주,Australia,0.6,2.604651162790698,30,1
2018,이집트,Egypt,0.56,2.533333333333333,31,0
2018,파나마,Panama,0.26,0.7526881720430108,32,0
2022,아르헨티나,Argentina,0.52,3.888888888888889,1,14
2022,프랑스,France,0.63,2.830188679245283,2,16
2022,크로아티아,Croatia,0.54,1.4794520547945205,3,10
2022,모로코,Morocco,0.51,3.055555555555556,4,11
2022,네덜란드,Netherlands,0.65,2.3088235294117645,5,11
2022,잉글랜드,England,0.66,3.5531914893617023,6,10
2022,브라질,Brazil,0.63,3.090909090909091,7,10
2022,포르투갈,Portugal,0.67,3.5319148936170213,8,9
2022,일본,Japan,0.65,4.108695652173913,9,7
2022,세네갈,Senegal,0.5,2.804878048780488,10,6
2022,호주,Australia,0.49,2.9705882352941178,11,6
2022,스위스,Switzerland,0.39,1.475,12,6
2022,스페인,Spain,0.61,3.3877551020408165,13,5
2022,미국,United States,0.57,2.7846153846153845,14,5
2022,폴란드,Poland,0.52,1.4125,15,4
2022,대한민국,South Korea,0.54,2.5535714285714284,16,4
2022,독일,Germany,0.54,2.0246913580246915,17,4
2022,에콰도르,Ecuador,0.36,1.2028985507246377,18,4
2022,카메룬,Cameroon,0.49,1.6956521739130437,19,4
2022,우루과이,Uruguay,0.47,1.865384615384616,20,4
2022,튀니지,Tunisia,0.59,2.175,21,4
2022,멕시코,Mexico,0.52,1.8953488372093024,22,4
2022,벨기에,Belgium,0.63,2.736842105263158,23,4
2022,가나,Ghana,0.41,1.148148148148148,24,3
2022,사우디아라비아,Saudi Arabia,0.46,1.5555555555555556,25,3
2022,이란,Iran,0.69,3.717948717948718,26,3
2022,코스타리카,Costa Rica,0.29,1.0625,27,3
2022,덴마크,Denmark,0.61,2.446428571428572,28,1
2022,세르비아,Serbia,0.48,1.536231884057971,29,1
2022,웨일스,Wales,0.44,1.2333333333333334,30,1
2022,캐나다,Canada,0.48,2.296875,31,0
2022,카타르,Qatar,0.49,1.3888888888888888,32,0
