순위,팀,경기,승,무,패,득점,실점,득실차,승점,비고
1,이탈리아,7,5,2,0,12,2,10,17,우승
2,프랑스,7,4,3,0,9,3,6,15,준우승
3,독일,7,5,1,1,14,6,8,16,3위
4,포르투갈,7,4,1,2,7,5,2,13,4위
5,브라질,5,4,0,1,10,2,8,12,8강
6,아르헨티나,5,3,2,0,11,3,8,11,8강
7,잉글랜드,5,3,2,0,6,2,4,11,8강
8,우크라이나,5,2,1,2,5,7,-2,7,8강
9,스페인,4,3,0,1,9,4,5,9,16강
10,스위스,4,2,2,0,4,0,4,8,16강
11,네덜란드,4,2,1,1,3,2,1,7,16강
12,에콰도르,4,2,0,2,5,4,1,6,16강
13,가나,4,2,0,2,4,6,-2,6,16강
14,스웨덴,4,1,2,1,3,4,-1,5,16강
15,멕시코,4,1,1,2,5,5,0,4,16강
16,호주,4,1,1,2,5,6,-1,4,16강
17,대한민국,3,1,1,1,3,4,-1,4,조별리그
18,파라과이,3,1,0,2,2,2,0,3,조별리그
19,코트디부아르,3,1,0,2,5,6,-1,3,조별리그
20,체코,3,1,0,2,3,4,-1,3,조별리그
21,폴란드,3,1,0,2,2,4,-2,3,조별리그
22,크로아티아,3,0,2,1,2,3,-1,2,조별리그
23,앙골라,3,0,2,1,1,2,-1,2,조별리그
24,튀니지,3,0,1,2,3,6,-3,1,조별리그
25,미국,3,0,1,2,2,6,-4,1,조별리그
26,이란,3,0,1,2,2,6,-4,1,조별리그
27,트리니다드 토바고,3,0,1,2,0,4,-4,1,조별리그
28,사우디아라비아,3,0,1,2,2,7,-5,1,조별리그
29,일본,3,0,1,2,2,7,-5,1,조별리그
30,토고,3,0,0,3,1,6,-5,0,조별리그
31,코스타리카,3,0,0,3,3,9,-6,0,조별리그
32,세르비아 몬테네그로,3,0,0,3,2,10,-8,0,조별리그
