Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
1,1,Spain,1514,1484,+30, ,2013-09-12
2,2,Argentina,1263,1210,+53, ,2013-09-12
3,1,Germany,1261,1257,+4, ,2013-09-12
4,2,Italy,1199,1142,+57, ,2013-09-12
5,2,Colombia,1180,1219,-39, ,2013-09-12
6,4,Belgium,1159,1079,+80, ,2013-09-12
7,5,Uruguay,1126,998,+128, ,2013-09-12
8,1,Brazil,1067,1089,-22, ,2013-09-12
9,4,Netherlands,1058,1165,-107, ,2013-09-12
10,2,Croatia,1051,1098,-47, ,2013-09-12
11,4,Portugal,1029,1099,-70, ,2013-09-12
12,1,Greece,1016,1038,-22, ,2013-09-12
13,6,USA,996,960,+36, ,2013-09-12
14,1,Switzerland,992,987,+5, ,2013-09-12
15,1,Russia,968,979,-11, ,2013-09-12
16,5,Chile,967,871,+96, ,2013-09-12
17,3,England,947,994,-47, ,2013-09-12
18,5,Bosnia and Herzegovina,934,995,-61, ,2013-09-12
19,1,Côte d'Ivoire,902,962,-60, ,2013-09-12
20,3,Ecuador,851,972,-121, ,2013-09-12
21,1,Mexico,837,879,-42, ,2013-09-12
22,8,Sweden,836,765,+71, ,2013-09-12
23,4,Denmark,825,788,+37, ,2013-09-12
24,,Ghana,815,830,-15, ,2013-09-12
25,2,France,812,838,-26, ,2013-09-12
26,2,Ukraine,799,774,+25, ,2013-09-12
27,1,Montenegro,766,774,-8, ,2013-09-12
28,6,Algeria,762,730,+32, ,2013-09-12
29,16,Slovenia,754,634,+120, ,2013-09-12
30,1,Hungary,744,749,-5, ,2013-09-12
31,2,Romania,739,732,+7, ,2013-09-12
32,6,Czech Republic,738,797,-59, ,2013-09-12
33,9,Costa Rica,733,651,+82, ,2013-09-12
34,12,Peru,732,855,-123, ,2013-09-12
35,5,Panama,727,679,+48, ,2013-09-12
36,3,Venezuela,707,688,+19, ,2013-09-12
36,1,Nigeria,707,700,+7, ,2013-09-12
38,6,Mali,704,735,-31, ,2013-09-12
39,14,Norway,699,801,-102, ,2013-09-12
40,3,Honduras,680,640,+40, ,2013-09-12
41,8,Paraguay,673,614,+59, ,2013-09-12
42,5,Japan,671,695,-24, ,2013-09-12
43,2,Serbia,666,661,+5, ,2013-09-12
44,8,Cape Verde Islands,660,696,-36, ,2013-09-12
45,7,Albania,652,689,-37, ,2013-09-12
46,7,Tunisia,643,596,+47, ,2013-09-12
47,8,Austria,639,595,+44, ,2013-09-12
48,4,IR Iran,633,601,+32, ,2013-09-12
49,9,Turkey,613,573,+40, ,2013-09-12
50,11,Egypt,611,544,+67, ,2013-09-12
51,3,Burkina Faso,607,618,-11, ,2013-09-12
52,6,Wales,606,630,-24, ,2013-09-12
53,7,Australia,603,630,-27, ,2013-09-12
54,16,Iceland,599,499,+100, ,2013-09-12
55,11,Armenia,592,534,+58, ,2013-09-12
56,9,Finland,591,537,+54, ,2013-09-12
57,2,Uzbekistan,579,566,+13, ,2013-09-12
58,2,Korea Republic,574,594,-20, ,2013-09-12
59,15,Republic of Ireland,570,639,-69, ,2013-09-12
60,2,Slovakia,562,542,+20, ,2013-09-12
61,10,Cameroon,558,604,-46, ,2013-09-12
62,2,Bolivia,555,538,+17, ,2013-09-12
63,13,Scotland,551,610,-59, ,2013-09-12
64,11,Bulgaria,549,596,-47, ,2013-09-12
65,7,Poland,539,493,+46, ,2013-09-12
66,12,Senegal,534,452,+82, ,2013-09-12
67,10,New Zealand,529,582,-53, ,2013-09-12
68,1,South Africa,528,530,-2, ,2013-09-12
69,6,Israel,522,540,-18, ,2013-09-12
70,1,Libya,520,518,+2, ,2013-09-12
71,11,Zambia,515,550,-35, ,2013-09-12
72,8,Sierra Leone,497,443,+54, ,2013-09-12
73,2,Jordan,494,495,-1, ,2013-09-12
74,1,Morocco,492,474,+18, ,2013-09-12
75,14,FYR Macedonia,490,395,+95, ,2013-09-12
76,8,Guinea,487,526,-39, ,2013-09-12
77,5,Togo,486,436,+50, ,2013-09-12
78,4,Haiti,471,476,-5, ,2013-09-12
78,2,Jamaica,471,469,+2, ,2013-09-12
80,7,Belarus,458,482,-24, ,2013-09-12
81,4,Uganda,457,468,-11, ,2013-09-12
82,2,United Arab Emirates,456,429,+27, ,2013-09-12
83,2,Gabon,443,440,+3, ,2013-09-12
84,6,Cuba,438,389,+49, ,2013-09-12
85,7,Trinidad and Tobago,432,452,-20, ,2013-09-12
86,23,Northern Ireland,431,307,+124, ,2013-09-12
87,1,Dominican Republic,425,421,+4, ,2013-09-12
88,3,Estonia,405,423,-18, ,2013-09-12
89,9,Angola,400,364,+36, ,2013-09-12
90,23,Benin,398,302,+96, ,2013-09-12
91,4,Congo DR,392,407,-15, ,2013-09-12
92,,Congo,388,385,+3, ,2013-09-12
93,9,Ethiopia,386,338,+48, ,2013-09-12
93,10,El Salvador,386,431,-45, ,2013-09-12
95,2,New Caledonia,383,377,+6, ,2013-09-12
96,1,Oman,382,370,+12, ,2013-09-12
97,,Georgia,364,369,-5, ,2013-09-12
98,1,Equatorial Guinea,363,348,+15, ,2013-09-12
99,4,China PR,362,370,-8, ,2013-09-12
100,7,Guatemala,335,377,-42, ,2013-09-12
101,15,Zimbabwe,333,292,+41, ,2013-09-12
102,3,Niger,332,323,+9, ,2013-09-12
103,15,Central African Republic,331,398,-67, ,2013-09-12
104,3,Botswana,326,339,-13, ,2013-09-12
105,1,Iraq,325,328,-3, ,2013-09-12
106,15,Canada,324,386,-62, ,2013-09-12
107,8,Azerbaijan,315,298,+17, ,2013-09-12
108,3,Qatar,309,305,+4, ,2013-09-12
109,3,Kuwait,307,304,+3, ,2013-09-12
109,2,Saudi Arabia,307,316,-9, ,2013-09-12
111,10,Antigua and Barbuda,303,272,+31, ,2013-09-12
112,6,Lithuania,299,321,-22, ,2013-09-12
113,3,Korea DPR,297,306,-9, ,2013-09-12
114,11,Liberia,295,335,-40, ,2013-09-12
115,4,Latvia,288,280,+8, ,2013-09-12
116,8,Mozambique,283,314,-31, ,2013-09-12
117,3,Tajikistan,281,301,-20, ,2013-09-12
118,11,Kenya,271,243,+28, ,2013-09-12
119,3,Grenada,268,264,+4, ,2013-09-12
120,,Lebanon,265,277,-12, ,2013-09-12
121,4,Bahrain,264,286,-22, ,2013-09-12
