순위,팀,경기,승,무,패,득점,실점,득실차,승점,비고
1,브라질,7,7,0,0,18,4,14,21,우승
2,독일,7,5,1,1,14,3,11,16,준우승
3,터키,7,4,1,2,10,6,4,13,3위
4,대한민국,7,3,2,2,8,6,2,11,4위
5,스페인,5,3,2,0,10,5,5,11,8강
6,잉글랜드,5,2,2,1,6,3,3,8,8강
7,세네갈,5,2,2,1,7,6,1,8,8강
8,미국,5,2,1,2,7,7,0,7,8강
9,일본,4,2,1,1,5,3,2,7,16강
10,덴마크,4,2,1,1,5,5,0,7,16강
11,멕시코,4,2,1,1,4,4,0,7,16강
12,아일랜드,4,1,3,0,6,3,3,6,16강
13,스웨덴,4,1,2,1,5,5,0,5,16강
14,벨기에,4,1,2,1,6,7,-1,5,16강
15,이탈리아,4,1,1,2,5,5,0,4,16강
16,파라과이,4,1,1,2,6,7,-1,4,16강
17,남아프리카 공화국,3,1,1,1,5,5,0,4,조별리그
18,아르헨티나,3,1,1,1,2,2,0,4,조별리그
19,코스타리카,3,1,1,1,5,6,-1,4,조별리그
20,카메룬,3,1,1,1,2,3,-1,4,조별리그
21,포르투갈,3,1,0,2,6,4,2,3,조별리그
22,러시아,3,1,0,2,4,4,0,3,조별리그
23,크로아티아,3,1,0,2,2,3,-1,3,조별리그
24,에콰도르,3,1,0,2,2,4,-2,3,조별리그
25,폴란드,3,1,0,2,3,7,-4,3,조별리그
26,우루과이,3,0,2,1,4,5,-1,2,조별리그
27,나이지리아,3,0,1,2,1,3,-2,1,조별리그
28,프랑스,3,0,1,2,0,3,-3,1,조별리그
29,튀니지,3,0,1,2,1,5,-4,1,조별리그
30,슬로베니아,3,0,0,3,2,7,-5,0,조별리그
31,중국,3,0,0,3,0,9,-9,0,조별리그
32,사우디아라비아,3,0,0,3,0,12,-12,0,조별리그
