Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
150,2,Eswatini,106,92,+14,,2006-09-13
151,8,Vietnam,103,116,-13,,2006-09-13
152,7,Bangladesh,102,114,-12,,2006-09-13
152,2,Barbados,102,102,-,,2006-09-13
154,10,Chinese Taipei,99,115,-16,,2006-09-13
155,31,Liechtenstein,97,170,-73,,2006-09-13
156,5,Solomon Islands,95,95,-,,2006-09-13
157,2,Grenada,94,73,+21,,2006-09-13
158,17,El Salvador,90,117,-27,,2006-09-13
159,3,Burundi,86,86,-,,2006-09-13
160,28,Andorra,84,142,-58,,2006-09-13
160,7,Pakistan,84,91,-7,,2006-09-13
162,4,Turkmenistan,73,77,-4,,2006-09-13
163,3,Suriname,72,72,-,,2006-09-13
163,3,Bermuda,72,72,-,,2006-09-13
165,3,Nicaragua,70,70,-,,2006-09-13
165,3,Vanuatu,70,70,-,,2006-09-13
167,2,Niger,69,54,+15,,2006-09-13
168,14,Madagascar,67,89,-22,,2006-09-13
169,4,Nepal,66,66,-,,2006-09-13
170,27,Turks and Caicos Islands,64,0,+64,,2006-09-13
171,4,Tahiti,55,55,-,,2006-09-13
171,4,British Virgin Islands,55,55,-,,2006-09-13
174,2,New Caledonia,51,51,-,,2006-09-13
175,1,Afghanistan,48,48,-,,2006-09-13
176,1,Papua New Guinea,47,47,-,,2006-09-13
177,1,Cayman Islands,46,46,-,,2006-09-13
178,5,Central African Republic,45,49,-4,,2006-09-13
179,10,Faroe Islands,38,54,-16,,2006-09-13
179,1,Brunei Darussalam,38,38,-,,2006-09-13
181,2,Guinea-Bissau,36,36,-,,2006-09-13
181,2,Somalia,36,36,-,,2006-09-13
183,2,Mongolia,35,35,-,,2006-09-13
184,2,Laos,34,34,-,,2006-09-13
185,1,Dominica,31,31,-,,2006-09-13
185,1,Cambodia,31,31,-,,2006-09-13
185,1,Macau,31,31,-,,2006-09-13
188,17,Dominican Republic,26,52,-26,,2006-09-13
189,2,Bhutan,24,24,-,,2006-09-13
190,2,Samoa,22,22,-,,2006-09-13
191,2,Tonga,21,21,-,,2006-09-13
192,2,Puerto Rico,17,17,-,,2006-09-13
193,2,Luxembourg,14,3,+11,,2006-09-13
194,3,San Marino,10,12,-2,,2006-09-13
195,3,Philippines,9,9,-,,2006-09-13
196,2,Anguilla,6,6,-,,2006-09-13
197,2,Cook Islands,3,3,-,,2006-09-13
198,1,Belize,0,0,-,,2006-09-13
198,1,Djibouti,0,0,-,,2006-09-13
198,1,Sao Tome e Principe,0,0,-,,2006-09-13
198,1,Aruba,0,0,-,,2006-09-13
198,1,US Virgin Islands,0,0,-,,2006-09-13
198,1,Montserrat,0,0,-,,2006-09-13
198,1,Guam,0,0,-,,2006-09-13
198,1,American Samoa,0,0,-,,2006-09-13
