Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
1,,Brazil,1574,1649,-75,,2006-09-13
2,2,France,1534,1462,+72,,2006-09-13
3,,Argentina,1492,1479,+13,,2006-09-13
4,1,England,1477,1434,+43,,2006-09-13
5,3,Italy,1474,1550,-76,,2006-09-13
6,,Netherlands,1327,1322,+5,,2006-09-13
7,3,Czech Republic,1312,1223,+89,,2006-09-13
8,1,Germany,1291,1229,+62,,2006-09-13
9,1,Portugal,1272,1301,-29,,2006-09-13
10,3,Spain,1255,1309,-54,,2006-09-13
11,,Nigeria,1166,1156,+10,,2006-09-13
12,,Cameroon,1062,1109,-47,,2006-09-13
13,2,Ukraine,1029,954,+75,,2006-09-13
14,1,Switzerland,1016,1028,-12,,2006-09-13
15,1,Uruguay,960,985,-25,,2006-09-13
16,1,Denmark,940,927,+13,,2006-09-13
17,1,Mexico,891,928,-37,,2006-09-13
18,2,Sweden,888,886,+2,,2006-09-13
19,1,Côte d'Ivoire,879,909,-30,,2006-09-13
20,9,Colombia,867,814,+53,,2006-09-13
21,2,Paraguay,854,892,-38,,2006-09-13
22,10,Greece,833,780,+53,,2006-09-13
23,2,Ghana,830,839,-9,,2006-09-13
24,3,Croatia,825,854,-29,,2006-09-13
25,1,Romania,817,834,-17,,2006-09-13
26,4,Guinea,815,850,-35,,2006-09-13
27,3,Egypt,814,841,-27,,2006-09-13
28,,Turkey,810,824,-14,,2006-09-13
29,6,USA,805,848,-43,,2006-09-13
30,3,Ecuador,785,826,-41,,2006-09-13
31,1,Tunisia,780,805,-25,,2006-09-13
32,1,Serbia,759,733,+26,,2006-09-13
33,2,Senegal,756,726,+30,,2006-09-13
34,6,Scotland,746,677,+69,,2006-09-13
35,5,Poland,737,805,-68,,2006-09-13
36,15,Israel,731,577,+154,,2006-09-13
37,1,Bulgaria,728,716,+12,,2006-09-13
38,1,Australia,727,708,+19,,2006-09-13
39,6,Russia,702,733,-31,,2006-09-13
40,9,Norway,698,604,+94,,2006-09-13
41,2,Morocco,694,681,+13,,2006-09-13
42,1,Slovakia,685,659,+26,,2006-09-13
43,5,Republic of Ireland,658,694,-36,,2006-09-13
43,2,IR Iran,658,639,+19,,2006-09-13
45,1,Chile,637,642,-5,,2006-09-13
46,5,Peru,611,662,-51,,2006-09-13
47,1,Japan,594,610,-16,,2006-09-13
48,2,Togo,589,622,-33,,2006-09-13
49,3,Korea Republic,580,574,+6,,2006-09-13
50,5,Belgium,572,555,+17,,2006-09-13
51,16,FYR Macedonia,554,456,+98,,2006-09-13
52,1,Angola,550,571,-21,,2006-09-13
53,6,Costa Rica,536,621,-85,,2006-09-13
54,12,Bosnia and Herzegovina,526,660,-134,,2006-09-13
55,4,Zambia,512,499,+13,,2006-09-13
56,5,Trinidad and Tobago,507,490,+17,,2006-09-13
57,3,Uzbekistan,492,564,-72,,2006-09-13
58,14,Northern Ireland,486,425,+61,,2006-09-13
59,21,Hungary,484,383,+101,,2006-09-13
60,,Mali,483,497,-14,,2006-09-13
61,6,Finland,482,456,+26,,2006-09-13
62,6,Wales,479,547,-68,,2006-09-13
63,1,Qatar,476,471,+5,,2006-09-13
64,1,Congo DR,475,475,-,,2006-09-13
65,4,Belarus,471,453,+18,,2006-09-13
66,16,Guatemala,469,582,-113,,2006-09-13
67,2,Lithuania,461,458,+3,,2006-09-13
68,7,Saudi Arabia,460,410,+50,,2006-09-13
69,31,Cuba,458,267,+191,,2006-09-13
70,13,Austria,452,506,-54,,2006-09-13
71,11,Canada,433,362,+71,,2006-09-13
71,24,Kuwait,433,291,+142,,2006-09-13
73,3,Zimbabwe,429,452,-23,,2006-09-13
74,24,Panama,426,275,+151,,2006-09-13
75,13,Albania,418,478,-60,,2006-09-13
76,,South Africa,417,406,+11,,2006-09-13
77,3,Jamaica,415,412,+3,,2006-09-13
78,20,Slovenia,408,505,-97,,2006-09-13
79,3,Bolivia,401,362,+39,,2006-09-13
80,15,Venezuela,399,458,-59,,2006-09-13
81,,Honduras,395,367,+28,,2006-09-13
81,4,Oman,395,357,+38,,2006-09-13
83,6,Algeria,388,318,+70,,2006-09-13
84,9,Gabon,368,293,+75,,2006-09-13
85,12,Moldova,356,416,-60,,2006-09-13
86,10,Ethiopia,354,286,+68,,2006-09-13
87,19,Iceland,349,238,+111,,2006-09-13
88,,United Arab Emirates,345,321,+24,,2006-09-13
89,12,Libya,338,395,-57,,2006-09-13
90,2,Equatorial Guinea,337,299,+38,,2006-09-13
91,12,China PR,334,252,+82,,2006-09-13
92,5,Iraq,330,334,-4,,2006-09-13
93,9,Georgia,326,359,-33,,2006-09-13
94,16,Latvia,319,386,-67,,2006-09-13
95,4,Malawi,302,307,-5,,2006-09-13
96,1,Jordan,296,276,+20,,2006-09-13
97,26,Burkina Faso,293,445,-152,,2006-09-13
98,5,Bahrain,287,293,-6,,2006-09-13
99,,Uganda,285,271,+14,,2006-09-13
100,9,Congo,279,237,+42,,2006-09-13
101,4,Benin,271,244,+27,,2006-09-13
102,24,Estonia,268,386,-118,,2006-09-13
103,13,Cyprus,261,308,-47,,2006-09-13
104,2,Botswana,244,258,-14,,2006-09-13
105,29,Tanzania,240,139,+101,,2006-09-13
106,3,Rwanda,238,237,+1,,2006-09-13
107,1,Singapore,235,238,-3,,2006-09-13
108,3,Lebanon,230,228,+2,,2006-09-13
109,11,Hong Kong,227,179,+48,,2006-09-13
110,3,Sudan,225,224,+1,,2006-09-13
111,25,Korea DPR,223,336,-113,,2006-09-13
112,8,Armenia,221,247,-26,,2006-09-13
113,12,Cape Verde Islands,219,259,-40,,2006-09-13
114,3,Thailand,214,228,-14,,2006-09-13
115,,St. Lucia,212,212,-,,2006-09-13
116,2,Syria,211,223,-12,,2006-09-13
117,11,Azerbaijan,206,238,-32,,2006-09-13
118,5,Haiti,205,174,+31,,2006-09-13
119,38,Gambia,200,79,+121,,2006-09-13
120,21,Kazakhstan,195,117,+78,,2006-09-13
120,2,Guyana,195,179,+16,,2006-09-13
122,6,Tajikistan,194,200,-6,,2006-09-13
123,5,Palestine,189,190,-1,,2006-09-13
124,42,Mauritania,188,61,+127,,2006-09-13
125,6,Kyrgyz Republic,178,185,-7,,2006-09-13
126,13,Mauritius,175,124,+51,,2006-09-13
127,10,Kenya,173,197,-24,,2006-09-13
127,19,Antigua and Barbuda,173,112,+61,,2006-09-13
129,3,Maldives,161,164,-3,,2006-09-13
129,2,St. Vincent and the Grenadines,161,155,+6,,2006-09-13
131,3,New Zealand,158,158,-,,2006-09-13
132,2,Chad,157,157,-,,2006-09-13
133,21,Sierra Leone,155,89,+66,,2006-09-13
134,7,Mozambique,154,163,-9,,2006-09-13
135,42,Eritrea,146,39,+107,,2006-09-13
136,11,Yemen,137,168,-31,,2006-09-13
136,8,India,137,158,-21,,2006-09-13
138,55,Bahamas,134,7,+127,,2006-09-13
139,2,Namibia,131,128,+3,,2006-09-13
139,7,Indonesia,131,112,+19,,2006-09-13
139,25,Myanmar,131,67,+64,,2006-09-13
142,4,St. Kitts and Nevis,124,126,-2,,2006-09-13
143,8,Liberia,122,134,-12,,2006-09-13
144,22,Malta,117,178,-61,,2006-09-13
144,11,Lesotho,117,141,-24,,2006-09-13
146,10,Seychelles,115,133,-18,,2006-09-13
147,8,Sri Lanka,112,124,-12,,2006-09-13
148,,Malaysia,110,109,+1,,2006-09-13
149,,Fiji,107,107,-,,2006-09-13
