team,avg_rank,avg_points
Afghanistan,164.34782608695653,429.95043478260874
Albania,71.55555555555556,757.328888888889
Algeria,50.75,863.1424999999999
American Samoa,193.6551724137931,339.70206896551724
Andorra,165.80769230769232,370.15999999999997
Angola,89.42307692307692,636.7465384615384
Anguilla,200.11111111111111,272.0351851851852
Antigua and Barbuda,129.26923076923077,486.66923076923075
Argentina,4.5,1313.4978571428571
Armenia,91.85185185185185,658.3992592592592
Aruba,182.53571428571428,350.73214285714283
Australia,43.370370370370374,891.6007407407408
Austria,47.0,861.9057142857143
Azerbaijan,113.22222222222223,574.1892592592593
Bahamas,188.53846153846155,276.5480769230769
Bahrain,96.92592592592592,630.6188888888888
Bangladesh,167.8148148148148,375.2374074074074
Barbados,141.42307692307693,448.3173076923077
Belarus,80.92592592592592,699.9148148148148
Belgium,21.857142857142858,1085.7628571428572
Belize,170.44444444444446,370.4248148148148
Benin,99.81481481481481,628.9522222222222
Bermuda,160.46428571428572,428.2082142857143
Bhutan,189.07692307692307,315.67923076923074
Bolivia,74.88888888888889,730.3996296296297
Bonaire,157.0,1073.91
Bosnia and Herzegovina,53.148148148148145,863.5118518518518
Botswana,124.53846153846153,509.945
Brazil,3.5,1326.3664285714287
British Virgin Islands,187.4,263.2428
Brunei,137.0,1113.28
Brunei Darussalam,188.6153846153846,278.2476923076923
Bulgaria,54.0,830.3048148148148
Burkina Faso,66.18518518518519,773.067037037037
Burundi,136.0,468.21269230769235
Cabo Verde,72.0,1341.3183333333334
Cambodia,176.14814814814815,349.18851851851855
Cameroon,39.592592592592595,912.09
Canada,75.62962962962963,720.3022222222222
Cape Verde Islands,99.9047619047619,470.23809523809524
Cayman Islands,183.07407407407408,326.6988888888889
Central African Republic,149.92307692307693,421.875
Chad,156.8846153846154,387.1807692307693
Chile,29.571428571428573,1025.9832142857142
China PR,77.85185185185185,700.8762962962963
Chinese Taipei,161.07407407407408,401.5211111111111
Colombia,17.714285714285715,1100.1378571428572
Comoros,159.94444444444446,475.7372222222223
Congo,95.14814814814815,648.0592592592592
Congo DR,73.15384615384616,738.7765384615384
Cook Islands,190.79166666666666,227.86333333333334
Costa Rica,41.111111111111114,895.044074074074
Croatia,13.571428571428571,1126.0542857142857
Cuba,117.26923076923077,535.8792307692308
Curacao,130.22222222222223,438.0
Curaçao,84.5,1284.2066666666667
Cyprus,92.14814814814815,654.465925925926
Czech Republic,22.916666666666668,935.1991666666667
Czechia,39.25,1491.5325
Côte d'Ivoire,39.44444444444444,942.6122222222222
Denmark,19.296296296296298,1029.6385185185186
Djibouti,194.15384615384616,261.81884615384615
Dominica,174.0,332.19
Dominican Republic,149.34615384615384,420.89153846153846
Ecuador,42.25925925925926,903.0966666666667
Egypt,39.22222222222222,910.0300000000001
El Salvador,94.77777777777777,643.5937037037037
England,8.428571428571429,1197.6775
Equatorial Guinea,129.57692307692307,490.80346153846153
Eritrea,177.17391304347825,243.98086956521738
Estonia,94.37037037037037,642.0711111111112
Eswatini,138.21428571428572,622.415
Ethiopia,130.96153846153845,486.4838461538462
FYR Macedonia,84.85,478.45
Faroe Islands,134.60714285714286,526.3289285714286
Federated States of Micronesia,169.5,1048.595
Fiji,150.03703703703704,443.6644444444445
Finland,60.333333333333336,780.2603703703703
France,7.185185185185185,1211.2107407407407
Gabon,83.4074074074074,709.5533333333333
Gambia,140.6818181818182,339.95454545454544
Georgia,90.37037037037037,659.7062962962963
Germany,7.75,1284.8703571428573
Ghana,47.2962962962963,888.8729629629629
Gibraltar,199.77777777777777,671.3499999999999
Greece,33.148148148148145,979.8588888888888
Greenland,177.5,1032.535
Grenada,146.73076923076923,428.5380769230769
Guadeloupe,145.0,1097.21
Guam,189.0,319.17214285714283
Guatemala,93.65384615384616,614.5015384615385
Guinea,73.29629629629629,755.5725925925925
Guinea-Bissau,149.14285714285714,463.40392857142854
