team,avg_rank,avg_points
Norway,39.666666666666664,896.9655555555555
Oman,87.25925925925925,670.1144444444444
Pakistan,181.46153846153845,302.1723076923077
Palau,184.0,1019.3475000000001
Palestine,130.74074074074073,506.69
Panama,74.81481481481481,745.0577777777778
Papua New Guinea,179.1153846153846,322.5438461538461
Paraguay,32.51851851851852,938.1907407407408
Peru,43.074074074074076,884.0077777777777
Philippines,154.2962962962963,424.15444444444444
Poland,33.51851851851852,940.3111111111111
Portugal,8.25,1197.6689285714288
Puerto Rico,170.40740740740742,364.272962962963
Qatar,77.48148148148148,708.1344444444445
Republic of Ireland,37.25925925925926,903.642962962963
Romania,30.392857142857142,975.7767857142857
Russia,28.88888888888889,990.5385185185186
Rwanda,120.8076923076923,520.8273076923077
Saint Kitts and Nevis,175.5,1036.3375
Saint Lucia,153.0,1081.16
Saint Vincent and the Grenadines,164.0,1059.535
Samoa,182.25,361.59607142857146
San Marino,191.84615384615384,241.67461538461538
Sao Tome e Principe,186.76190476190476,150.1904761904762
Saudi Arabia,61.44444444444444,773.175925925926
Scotland,42.925925925925924,903.4322222222222
Senegal,41.333333333333336,887.1059259259259
Serbia,32.55,1050.453
Serbia and Montenegro,45.0,596.3333333333334
Seychelles,182.7037037037037,324.10555555555555
Sierra Leone,118.18518518518519,554.1681481481481
Singapore,136.85185185185185,486.8833333333333
Slovakia,39.25,912.385
Slovenia,50.148148148148145,841.6725925925925
Solomon Islands,156.1,496.4836666666667
Somalia,194.92307692307693,257.7696153846154
South Africa,59.0,777.1918518518519
South Sudan,174.76923076923077,562.2261538461538
Spain,5.714285714285714,1318.3360714285716
Sri Lanka,170.92592592592592,366.24703703703705
St Kitts and Nevis,144.0,1061.1875
St Lucia,166.5,985.4675
St Vincent and the Grenadines,175.0,951.77
St. Kitts and Nevis,129.6818181818182,373.1818181818182
St. Lucia,151.9090909090909,301.1818181818182
St. Pierre and Miquelon,192.0,1003.16
St. Vincent / Grenadines,141.08333333333334,262.5
St. Vincent and the Grenadines,143.0,412.1
Sudan,118.33333333333333,556.5258333333333
Suriname,141.5,448.8830769230769
Swaziland,149.91666666666666,226.91666666666666
Sweden,23.666666666666668,990.4444444444445
Switzerland,25.714285714285715,1042.6092857142858
Syria,101.81481481481481,616.8411111111111
São Tomé and Príncipe,188.0,892.344
Tahiti,154.73076923076923,408.19576923076926
Tajikistan,134.96153846153845,469.1488461538462
Tanzania,129.73076923076923,486.84769230769234
Thailand,107.4074074074074,588.7525925925926
The Gambia,123.5,1143.25
Timor-Leste,190.57894736842104,397.27947368421053
Togo,94.73076923076923,622.501923076923
Tokelau,187.0,1013.4375
Tonga,189.9655172413793,359.3010344827586
Trinidad and Tobago,75.70370370370371,706.3596296296296
Tunisia,35.925925925925924,904.5748148148149
Turkey,27.652173913043477,871.0626086956521
Turkmenistan,133.92307692307693,473.2296153846154
Turks and Caicos Islands,194.71428571428572,302.53249999999997
Türkiye,35.0,1507.4450000000002
US Virgin Islands,195.30769230769232,254.50153846153847
USA,18.88888888888889,1035.8340740740741
Uganda,88.14814814814815,675.4355555555555
Ukraine,32.333333333333336,962.1048148148149
United Arab Emirates,81.25925925925925,696.1081481481481
Uruguay,15.857142857142858,1118.6653571428571
Uzbekistan,72.4074074074074,736.1470370370371
Vanuatu,164.03703703703704,394.9414814814815
Venezuela,59.148148148148145,800.6266666666666
Vietnam,120.70370370370371,545.4511111111111
Wales,47.607142857142854,890.8053571428571
Yemen,145.92307692307693,430.9761538461538
Yugoslavia,14.5,686.75
Zaire,61.0,496.0
Zambia,72.4074074074074,725.2229629629629
Zimbabwe,93.77777777777777,633.435925925926
