Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
1,1,Spain,1617,1605,+12, ,2012-09-05
2, ,Germany,1437,1474,-37, ,2012-09-05
3, ,England,1274,1294,-20, ,2012-09-05
4,1,Portugal,1232,1213,+19, ,2012-09-05
5,1,Uruguay,1217,1236,-19, ,2012-09-05
6, ,Italy,1174,1192,-18, ,2012-09-05
7, ,Argentina,1121,1098,+23, ,2012-09-05
8, ,Netherlands,1044,1053,-9, ,2012-09-05
9, ,Croatia,1020,1050,-30, ,2012-09-05
10, ,Denmark,1006,1017,-11, ,2012-09-05
11,1,Greece,1001,1003,-2, ,2012-09-05
12,1,Brazil,996,991,+5, ,2012-09-05
13,2,Russia,990,1016,-26, ,2012-09-05
14,1,Chile,984,953,+31, ,2012-09-05
15,1,France,965,980,-15, ,2012-09-05
16, ,Côte d'Ivoire,912,939,-27, ,2012-09-05
17,3,Ecuador,890,836,+54, ,2012-09-05
18,1,Sweden,875,909,-34, ,2012-09-05
19, ,Czech Republic,869,854,+15, ,2012-09-05
20,3,Switzerland,847,828,+19, ,2012-09-05
21,3,Mexico,845,862,-17, ,2012-09-05
22,1,Colombia,843,835,+8, ,2012-09-05
23,1,Japan,793,829,-36, ,2012-09-05
24,9,Slovenia,784,706,+78, ,2012-09-05
25,1,Australia,778,807,-29, ,2012-09-05
26, ,Republic of Ireland,768,779,-11, ,2012-09-05
27,2,Korea Republic,763,740,+23, ,2012-09-05
28,6,Algeria,734,693,+41, ,2012-09-05
29,2,Paraguay,728,747,-19, ,2012-09-05
30,1,Bosnia and Herzegovina,717,729,-12, ,2012-09-05
31,1,Ghana,714,707,+7, ,2012-09-05
32,7,Mali,710,650,+60, ,2012-09-05
33,3,USA,697,672,+25, ,2012-09-05
34,9,Norway,682,780,-98, ,2012-09-05
35,5,Turkey,678,735,-57, ,2012-09-05
36,2,Libya,666,655,+11, ,2012-09-05
37,9,Hungary,663,746,-83, ,2012-09-05
38,2,Egypt,634,637,-3, ,2012-09-05
39,6,Ukraine,628,621,+7, ,2012-09-05
40,13,Belgium,626,564,+62, ,2012-09-05
41, ,Tunisia,625,627,-2, ,2012-09-05
42,7,Serbia,624,675,-51, ,2012-09-05
42,2,Zambia,624,623,+1, ,2012-09-05
44,1,Gabon,617,624,-7, ,2012-09-05
45,3,Slovakia,616,626,-10, ,2012-09-05
45,8,Wales,616,658,-42, ,2012-09-05
47,1,Scotland,610,611,-1, ,2012-09-05
48,2,Montenegro,606,581,+25, ,2012-09-05
49,11,Austria,598,517,+81, ,2012-09-05
50,4,Panama,591,560,+31, ,2012-09-05
51,4,Peru,587,607,-20, ,2012-09-05
52, ,Venezuela,584,570,+14, ,2012-09-05
53,3,Armenia,575,559,+16, ,2012-09-05
54,6,IR Iran,573,590,-17, ,2012-09-05
55,6,Estonia,572,587,-15, ,2012-09-05
56,2,Poland,547,560,-13, ,2012-09-05
57,6,Romania,542,580,-38, ,2012-09-05
58, ,Nigeria,523,525,-2, ,2012-09-05
59,2,Sierra Leone,518,529,-11, ,2012-09-05
60,6,Jamaica,515,479,+36, ,2012-09-05
61,2,Cameroon,510,520,-10, ,2012-09-05
62,1,Senegal,508,506,+2, ,2012-09-05
63,10,Bolivia,501,449,+52, ,2012-09-05
64,7,Central African Republic,492,462,+30, ,2012-09-05
65,13,Cape Verde Islands,490,441,+49, ,2012-09-05
66,4,Costa Rica,487,501,-14, ,2012-09-05
67,3,El Salvador,481,490,-9, ,2012-09-05
68, ,Morocco,478,473,+5, ,2012-09-05
69,5,Guinea,472,448,+24, ,2012-09-05
70,7,Uzbekistan,470,493,-23, ,2012-09-05
71,6,Benin,468,446,+22, ,2012-09-05
72,7,Honduras,460,486,-26, ,2012-09-05
73,6,Canada,454,439,+15, ,2012-09-05
74,7,South Africa,448,474,-26, ,2012-09-05
75,7,Israel,446,427,+19, ,2012-09-05
76, ,Belarus,443,447,-4, ,2012-09-05
77,3,Haiti,439,435,+4, ,2012-09-05
78,9,China PR,437,470,-33, ,2012-09-05
78,6,Iraq,437,420,+17, ,2012-09-05
80,5,Angola,433,407,+26, ,2012-09-05
81,10,Korea DPR,429,392,+37, ,2012-09-05
82,2,Trinidad and Tobago,420,435,-15, ,2012-09-05
83,9,Congo,413,375,+38, ,2012-09-05
84,10,Albania,410,448,-38, ,2012-09-05
85,2,Burkina Faso,406,405,+1, ,2012-09-05
86,11,Georgia,405,357,+48, ,2012-09-05
87,4,Jordan,402,425,-23, ,2012-09-05
88, ,Uganda,401,399,+2, ,2012-09-05
89,5,Bulgaria,388,373,+15, ,2012-09-05
90, ,Malawi,385,397,-12, ,2012-09-05
91,3,Guatemala,384,399,-15, ,2012-09-05
92,6,Qatar,380,354,+26, ,2012-09-05
93,1,Oman,376,375,+1, ,2012-09-05
94,24,Latvia,375,463,-88, ,2012-09-05
95, ,New Zealand,366,366,-, ,2012-09-05
96,24,Finland,365,451,-86, ,2012-09-05
