Rank,Change,Team,Total_Points,Previous_Points,PlusMinus,Matches,Update_Date
1,,Brazil,818,819,-1,,2000-09-06
2,,France,807,808,-1,,2000-09-06
3,,Argentina,752,749,+3,,2000-09-06
4,,Czech Republic,746,745,+1,,2000-09-06
5,,Spain,740,743,-3,,2000-09-06
6,,Italy,725,729,-4,,2000-09-06
7,,Portugal,724,716,+8,,2000-09-06
8,2,Yugoslavia,714,704,+10,,2000-09-06
9,2,Germany,712,700,+12,,2000-09-06
10,2,Netherlands,710,710,-,,2000-09-06
11,2,Norway,698,705,-7,,2000-09-06
12,,Romania,698,695,+3,,2000-09-06
13,1,Mexico,693,688,+5,,2000-09-06
14,1,England,682,689,-7,,2000-09-06
15,,Croatia,675,687,-12,,2000-09-06
16,,Paraguay,672,655,+17,,2000-09-06
17,,Colombia,668,648,+20,,2000-09-06
18,,Denmark,652,639,+13,,2000-09-06
19,2,USA,646,627,+19,,2000-09-06
20,2,Chile,645,625,+20,,2000-09-06
21,2,Sweden,639,638,+1,,2000-09-06
22,1,Scotland,631,625,+6,,2000-09-06
23,3,South Africa,631,629,+2,,2000-09-06
24,1,Russia,625,606,+19,,2000-09-06
25,3,Belgium,607,596,+11,,2000-09-06
26,2,Morocco,605,609,-4,,2000-09-06
27,1,Tunisia,605,606,-1,,2000-09-06
28,1,Slovakia,604,598,+6,,2000-09-06
29,,Trinidad and Tobago,597,586,+11,,2000-09-06
30,,Turkey,588,586,+2,,2000-09-06
31,,Egypt,586,581,+5,,2000-09-06
32,4,Uruguay,583,572,+11,,2000-09-06
33,1,Greece,581,581,-,,2000-09-06
34,1,Cameroon,580,580,-,,2000-09-06
35,,Israel,577,572,+5,,2000-09-06
36,8,Poland,568,548,+20,,2000-09-06
37,4,Slovenia,568,559,+9,,2000-09-06
38,1,Republic of Ireland,565,561,+4,,2000-09-06
39,7,Jamaica,565,543,+22,,2000-09-06
40,3,Peru,565,554,+11,,2000-09-06
41,7,Ukraine,565,580,-15,,2000-09-06
42,,Austria,563,554,+9,,2000-09-06
43,6,Korea Republic,563,565,-2,,2000-09-06
44,6,IR Iran,559,561,-2,,2000-09-06
45,5,Zambia,557,561,-4,,2000-09-06
46,3,Honduras,545,534,+11,,2000-09-06
47,7,Finland,543,526,+17,,2000-09-06
48,3,Côte d'Ivoire,542,547,-5,,2000-09-06
49,4,Hungary,540,528,+12,,2000-09-06
50,2,Japan,537,535,+2,,2000-09-06
51,4,Angola,536,539,-3,,2000-09-06
52,1,Iceland,531,530,+1,,2000-09-06
53,3,Ghana,530,531,-1,,2000-09-06
54,1,Nigeria,530,521,+9,,2000-09-06
55,6,Costa Rica,524,512,+12,,2000-09-06
56,4,Bulgaria,522,529,-7,,2000-09-06
57,1,Thailand,515,514,+1,,2000-09-06
58,2,Canada,512,518,-6,,2000-09-06
59,,United Arab Emirates,512,514,-2,,2000-09-06
60,5,Ecuador,511,500,+11,,2000-09-06
61,1,Switzerland,511,507,+4,,2000-09-06
62,2,Guatemala,510,513,-3,,2000-09-06
63,6,Saudi Arabia,507,517,-10,,2000-09-06
64,8,Zimbabwe,500,483,+17,,2000-09-06
65,2,Cyprus,499,502,-3,,2000-09-06
66,1,Congo DR,493,496,-3,,2000-09-06
67,1,Australia,492,497,-5,,2000-09-06
68,,Georgia,492,495,-3,,2000-09-06
69,2,Lithuania,492,494,-2,,2000-09-06
70,,Bolivia,491,494,-3,,2000-09-06
71,2,Kuwait,490,495,-5,,2000-09-06
72,8,Uzbekistan,485,501,-16,,2000-09-06
73,,China PR,481,476,+5,,2000-09-06
74,8,Bosnia and Herzegovina,475,452,+23,,2000-09-06
75,,Burkina Faso,471,467,+4,,2000-09-06
76,,Cuba,467,467,-,,2000-09-06
77,2,Estonia,465,461,+4,,2000-09-06
78,4,Guinea,464,469,-5,,2000-09-06
79,9,Armenia,462,441,+21,,2000-09-06
80,3,Algeria,461,462,-1,,2000-09-06
81,6,Iraq,456,442,+14,,2000-09-06
82,4,Namibia,455,462,-7,,2000-09-06
83,8,Gabon,453,439,+14,,2000-09-06
84,1,Haiti,452,449,+3,,2000-09-06
85,4,Senegal,452,456,-4,,2000-09-06
86,6,Latvia,450,457,-7,,2000-09-06
87,3,FYR Macedonia,442,447,-5,,2000-09-06
88,2,Albania,441,439,+2,,2000-09-06
89,3,Mali,440,443,-3,,2000-09-06
90,1,Togo,437,441,-4,,2000-09-06
91,5,New Zealand,434,414,+20,,2000-09-06
92,,Qatar,434,438,-4,,2000-09-06
93,,Congo,433,434,-1,,2000-09-06
94,9,El Salvador,432,443,-11,,2000-09-06
95,5,Liberia,427,394,+33,,2000-09-06
96,2,Northern Ireland,425,404,+21,,2000-09-06
97,2,Moldova,423,415,+8,,2000-09-06
98,1,Syria,417,410,+7,,2000-09-06
99,5,Barbados,414,422,-8,,2000-09-06
100,10,Belarus,403,365,+38,,2000-09-06
101,5,Uganda,399,377,+22,,2000-09-06
102,3,Indonesia,394,395,-1,,2000-09-06
103,2,Jordan,386,385,+1,,2000-09-06
104,8,Malaysia,376,364,+12,,2000-09-06
105,,Mozambique,375,377,-2,,2000-09-06
106,4,Singapore,375,382,-7,,2000-09-06
107,6,Venezuela,375,361,+14,,2000-09-06
108,1,Kenya,374,367,+7,,2000-09-06
109,2,Oman,374,372,+2,,2000-09-06
110,1,Lebanon,368,365,+3,,2000-09-06
111,7,Vietnam,367,378,-11,,2000-09-06
112,4,Azerbaijan,366,369,-3,,2000-09-06
113,10,Wales,361,379,-18,,2000-09-06
114,,Malawi,359,360,-1,,2000-09-06
115,6,Madagascar,351,313,+38,,2000-09-06
116,1,India,349,350,-1,,2000-09-06
117,2,Faroe Islands,340,318,+22,,2000-09-06
118,1,Kazakhstan,330,331,-1,,2000-09-06
119,3,Mauritius,330,335,-5,,2000-09-06
120,2,Malta,318,323,-5,,2000-09-06
121,1,Turkmenistan,317,317,-,,2000-09-06
122,,Panama,311,312,-1,,2000-09-06
123,1,Libya,309,303,+6,,2000-09-06
124,1,St. Vincent and the Grenadines,303,307,-4,,2000-09-06
125,,Hong Kong,300,301,-1,,2000-09-06
126,5,Sierra Leone,298,275,+23,,2000-09-06
127,1,Sudan,297,299,-2,,2000-09-06
128,4,Myanmar,292,271,+21,,2000-09-06
129,1,St. Lucia,288,286,+2,,2000-09-06
130,3,Tahiti,287,287,-,,2000-09-06
131,1,Solomon Islands,284,283,+1,,2000-09-06
132,3,Bahrain,277,285,-8,,2000-09-06
133,,Eswatini,267,269,-2,,2000-09-06
134,12,Burundi,262,242,+20,,2000-09-06
135,1,Tajikistan,261,266,-5,,2000-09-06
136,1,Fiji,260,262,-2,,2000-09-06
137,1,Luxembourg,258,256,+2,,2000-09-06
138,2,Grenada,257,260,-3,,2000-09-06
139,2,Lesotho,255,260,-5,,2000-09-06
140,1,Rwanda,252,252,-,,2000-09-06
141,2,Tanzania,251,255,-4,,2000-09-06
142,,Ethiopia,246,247,-1,,2000-09-06
143,,Bangladesh,245,246,-1,,2000-09-06
144,,Benin,245,246,-1,,2000-09-06
145,5,Liechtenstein,245,252,-7,,2000-09-06
146,1,St. Kitts and Nevis,243,243,-,,2000-09-06
147,,Korea DPR,240,239,+1,,2000-09-06
148,1,Antigua and Barbuda,236,234,+2,,2000-09-06
149,5,Andorra,235,214,+21,,2000-09-06
150,1,Bermuda,218,218,-,,2000-09-06
151,,Botswana,217,215,+2,,2000-09-06
152,2,Gambia,216,217,-1,,2000-09-06
153,1,Maldives,215,215,-,,2000-09-06
154,1,Sri Lanka,214,215,-1,,2000-09-06
155,,Dominican Republic,206,206,-,,2000-09-06
156,,Cape Verde Islands,198,196,+2,,2000-09-06
157,,Mauritania,193,194,-1,,2000-09-06
158,,Yemen,191,192,-1,,2000-09-06
159,1,Cayman Islands,184,181,+3,,2000-09-06
160,1,Dominica,183,183,-,,2000-09-06
161,1,Chinese Taipei,178,173,+5,,2000-09-06
162,1,Nepal,174,174,-,,2000-09-06
163,,Chad,173,171,+2,,2000-09-06
164,2,Eritrea,172,165,+7,,2000-09-06
