,home_team,away_team,home_win,year
21773,Costa Rica,United States,1,2002
21774,Nepal,Macau,-1,2002
21775,Oman,Japan,-1,2002
21776,Panama,Belize,-1,2002
21777,Guatemala,Ecuador,-1,2002
21778,Macau,Japan,-1,2002
21779,Oman,Nepal,1,2002
21780,Nepal,Japan,-1,2002
21781,Oman,Macau,1,2002
21782,Saudi Arabia,Bangladesh,1,2002
21783,Taiwan,Bangladesh,-1,2002
21784,Albania,Ukraine,-1,2002
21785,Croatia,Denmark,-1,2002
21786,Cyprus,Russia,-1,2002
21787,England,Mexico,1,2002
21788,Italy,Moldova,1,2002
21789,Netherlands,San Marino,1,2002
21790,Northern Ireland,Portugal,-1,2002
21791,Romania,Liechtenstein,1,2002
21792,Saudi Arabia,Malaysia,1,2002
21793,Scotland,Estonia,1,2002
21794,Sierra Leone,Senegal,1,2002
21795,Tanzania,Burkina Faso,1,2002
21796,United Arab Emirates,Norway,-1,2002
21797,Wales,Belgium,-1,2002
21798,Belize,Panama,-1,2002
21799,China PR,Iraq,-1,2002
21800,Gabon,Togo,1,2002
21801,Georgia,Armenia,1,2002
21802,Hong Kong,Thailand,1,2002
21803,Bangladesh,Malaysia,-1,2002
21804,Luxembourg,Israel,-1,2002
21805,Malta,Slovakia,-1,2002
21806,Saudi Arabia,Taiwan,1,2002
21807,India,China PR,-1,2002
21808,Albania,Germany,-1,2002
21809,Azerbaijan,Finland,-1,2002
21810,Barbados,Grenada,-1,2002
21811,Bolivia,Argentina,1,2002
21812,Bosnia and Herzegovina,Greece,-1,2002
21813,Brazil,Chile,1,2002
21814,Bulgaria,Cyprus,1,2002
21815,Croatia,Slovenia,-1,2002
21816,Czech Republic,Serbia,-1,2002
21817,Dominica,British Virgin Islands,1,2002
21818,France,Sweden,1,2002
21819,Hungary,Australia,-1,2002
21820,Lithuania,Romania,-1,2002
21821,North Macedonia,Republic of Ireland,1,2002
21822,Paraguay,Colombia,1,2002
21823,Peru,Ecuador,-1,2002
21824,Poland,Italy,-1,2002
21825,Scotland,Austria,1,2002
21826,Sint Maarten,Anguilla,1,2002
21827,Switzerland,Latvia,1,2002
21828,Trinidad and Tobago,Guyana,1,2002
21829,Turkey,Netherlands,1,2002
21830,Ukraine,Northern Ireland,1,2002
21831,Uruguay,Venezuela,1,2002
21832,China PR,Ghana,-1,2002
21833,British Virgin Islands,Anguilla,1,2002
21834,Dominica,Sint Maarten,1,2002
21835,Grenada,Guyana,1,2002
21836,Trinidad and Tobago,Barbados,-1,2002
21837,Nigeria,Guinea,1,2002
21838,Sierra Leone,Ghana,-1,2002
21839,Angola,Togo,1,2002
21840,Cameroon,Zimbabwe,1,2002
21841,Canada,El Salvador,-1,2002
21842,Congo,South Africa,1,2002
21843,Dominica,Anguilla,1,2002
21844,Gabon,Morocco,-1,2002
21845,Guyana,Barbados,-1,2002
21846,India,Iraq,-1,2002
21847,Indonesia,Cambodia,1,2002
21848,Kenya,Burkina Faso,1,2002
21849,Liberia,Egypt,1,2002
21850,Namibia,Tunisia,-1,2002
21851,Sint Maarten,British Virgin Islands,1,2002
21852,Trinidad and Tobago,Grenada,-1,2002
21853,India,Ghana,-1,2002
21854,Jordan,United Arab Emirates,-1,2002
21855,DR Congo,Zambia,-1,2002
21856,India,Iraq,-1,2002
21857,Bahrain,United Arab Emirates,-1,2002
21858,India,China PR,-1,2002
21859,Kuwait,Iran,-1,2002
21860,Malawi,Mozambique,-1,2002
21861,El Salvador,Guatemala,-1,2002
21862,Indonesia,Yemen,-1,2002
21863,Lebanon,Singapore,-1,2002
21864,Mexico,Jamaica,1,2002
21865,Bahrain,Jordan,1,2002
21866,Guatemala,Costa Rica,-1,2002
21867,Honduras,Panama,1,2002
21868,Thailand,Kuwait,1,2002
21869,Costa Rica,Nicaragua,1,2002
21870,Honduras,El Salvador,1,2002
21871,Zambia,Malawi,1,2002
21872,Jordan,Bahrain,1,2002
21873,Cambodia,Yemen,-1,2002
21874,Cameroon,Congo,1,2002
21875,El Salvador,Panama,1,2002
21876,Guatemala,Nicaragua,1,2002
21877,United States,Mexico,-1,2002
21878,China PR,Myanmar,1,2002
21879,Iran,Kenya,1,2002
21880,United Arab Emirates,Bahrain,1,2002
21881,China PR,South Korea,-1,2002
21882,Guatemala,El Salvador,1,2002
21883,Honduras,Costa Rica,-1,2002
21884,Costa Rica,El Salvador,1,2002
21885,Guatemala,Honduras,1,2002
21886,Turkmenistan,Azerbaijan,1,2002
21887,Namibia,Egypt,-1,2002
21888,Sierra Leone,Morocco,-1,2002
21889,Singapore,Kuwait,-1,2002
21890,United Arab Emirates,Jordan,1,2002
21891,Burkina Faso,Nigeria,-1,2002
21892,Cambodia,Indonesia,-1,2002
21893,Cameroon,Togo,1,2002
21894,Canada,Jamaica,-1,2002
21895,China PR,Iran,-1,2002
21896,DR Congo,South Africa,-1,2002
21897,Dominica,Martinique,-1,2002
21898,Ghana,Gabon,1,2002
21899,Guatemala,Costa Rica,-1,2002
21900,Honduras,El Salvador,-1,2002
21901,Kenya,Guinea,1,2002
21902,Lebanon,Libya,1,2002
21903,Tunisia,Liberia,1,2002
21904,Zambia,Congo,1,2002
21905,Zimbabwe,Angola,-1,2002
21906,Bermuda,Saint Martin,1,2002
21907,Chile,Venezuela,1,2002
21908,Slovakia,Iceland,1,2002
21909,Argentina,Ecuador,1,2002
21910,Armenia,Northern Ireland,-1,2002
21911,Austria,Estonia,1,2002
21912,Brazil,Mexico,1,2002
21913,Colombia,Peru,-1,2002
21914,Denmark,Slovenia,1,2002
21915,England,Georgia,1,2002
21916,Germany,Ukraine,1,2002
21917,Greece,Croatia,-1,2002
21918,Israel,Cyprus,1,2002
21919,Italy,Poland,1,2002
21920,Latvia,Belarus,1,2002
21921,Liechtenstein,Lithuania,-1,2002
21922,Malta,Faroe Islands,-1,2002
21923,Norway,Finland,-1,2002
21924,Paraguay,Uruguay,1,2002
21925,Romania,Republic of Ireland,1,2002
21926,Russia,Luxembourg,1,2002
21927,San Marino,Netherlands,-1,2002
21928,Serbia,Spain,-1,2002
21929,Sweden,Scotland,1,2002
21930,Switzerland,Hungary,1,2002
21931,Syria,Libya,-1,2002
21932,Turkey,Belgium,-1,2002
21933,Fiji,New Caledonia,1,2002
21934,Trinidad and Tobago,Jamaica,-1,2002
21935,Aruba,Jamaica,-1,2002
21936,El Salvador,Costa Rica,1,2002
21937,Martinique,Dominica,1,2002
21938,Tajikistan,Vietnam,1,2002
21939,Turkmenistan,China PR,-1,2002
21940,Guernsey,Jersey,1,2002
21941,Ukraine,Armenia,-1,2002
21942,Ivory Coast,Senegal,1,2002
21943,Kuwait,Lebanon,1,2002
21944,Yemen,Uzbekistan,-1,2002
21945,Costa Rica,Jamaica,1,2002
21946,Kazakhstan,Pakistan,1,2002
21947,Tajikistan,China PR,-1,2002
21948,Turkmenistan,Vietnam,1,2002
21949,Mongolia,China PR,-1,2002
21950,Guam,Japan,-1,2002
21951,Kazakhstan,Guam,1,2002
21952,Japan,Mongolia,1,2002
21953,Guam,China PR,-1,2002
21954,Kazakhstan,Japan,-1,2002
21955,Yemen,Cambodia,1,2002
21956,Mongolia,Kazakhstan,-1,2002
21957,China PR,Japan,1,2002
21958,Estonia,Latvia,-1,2002
21959,Jamaica,El Salvador,1,2002
21960,Guam,Mongolia,-1,2002
21961,China PR,Kazakhstan,-1,2002
21962,Republic of Ireland,Liechtenstein,1,2002
21963,Japan,South Korea,-1,2002
21964,Thailand,Northern Ireland,-1,2002
21965,Sweden,Poland,-1,2002
21966,Pakistan,Iraq,-1,2002
21967,England,South Africa,1,2002
21968,Singapore,Lebanon,-1,2002
21969,Turkmenistan,Tajikistan,-1,2002
21970,Uzbekistan,Cambodia,1,2002
21971,Vietnam,China PR,-1,2002
21972,Kuwait,Zambia,1,2002
21973,Scotland,Wales,-1,2002
21974,El Salvador,Ecuador,-1,2002
21975,South Korea,Hong Kong,1,2002
21976,Norway,Brazil,1,2002
21977,Burkina Faso,Mali,1,2002
21978,Morocco,Ethiopia,1,2002
21979,Papua New Guinea,New Zealand,1,2002
21980,Poland,England,-1,2002
21981,Tanzania,Namibia,-1,2002
21982,Tunisia,Algeria,-1,2002
21983,Canada,Costa Rica,1,2002
21984,China PR,Turkmenistan,1,2002
21985,Indonesia,Uzbekistan,-1,2002
21986,South Korea,Thailand,-1,2002
21987,Malta,Scotland,-1,2002
21988,Vietnam,Tajikistan,-1,2002
21989,Zambia,Cameroon,1,2002
21990,Maldives,Iran,-1,2002
21991,France,Brazil,-1,2002
21992,England,Italy,1,2002
21993,Estonia,Azerbaijan,1,2002
21994,Kyrgyzstan,Iran,-1,2002
21995,South Africa,Netherlands,-1,2002
21996,Syria,Maldives,1,2002
21997,Togo,Burkina Faso,-1,2002
21998,United States,Paraguay,-1,2002
21999,Kuwait,Singapore,1,2002
22000,Senegal,Algeria,-1,2002
22001,Iraq,Kazakhstan,-1,2002
22002,Kyrgyzstan,Maldives,1,2002
22003,Palestine,Jordan,-1,2002
22004,Syria,Iran,-1,2002
22005,Belgium,San Marino,1,2002
22006,Fiji,New Zealand,-1,2002
22007,France,England,-1,2002
22008,Georgia,Moldova,1,2002
22009,North Macedonia,Iceland,1,2002
22010,Nigeria,Kenya,1,2002
22011,Portugal,Albania,1,2002
22012,Ukraine,Germany,-1,2002
22013,Morocco,Ghana,1,2002
22014,Angola,Cameroon,-1,2002
22015,Argentina,Peru,1,2002
22016,Belarus,Scotland,-1,2002
22017,Bulgaria,Luxembourg,1,2002
22018,China PR,Tajikistan,-1,2002
22019,Congo,DR Congo,1,2002
22020,Denmark,Bosnia and Herzegovina,1,2002
22021,Ecuador,Chile,-1,2002
22022,Egypt,Tunisia,-1,2002
22023,El Salvador,Mexico,-1,2002
22024,Estonia,Sweden,-1,2002
22025,Faroe Islands,Malta,1,2002
22026,Finland,Azerbaijan,1,2002
22027,Guinea,Burkina Faso,1,2002
22028,Hungary,Norway,-1,2002
22029,Italy,Brazil,-1,2002
22030,Japan,Croatia,1,2002
22031,Latvia,Austria,-1,2002
22032,Liberia,Namibia,-1,2002
22033,Russia,Israel,1,2002
22034,Serbia,Slovakia,1,2002
22035,South Africa,Zambia,1,2002
22036,Spain,Czech Republic,1,2002
22037,Togo,Zimbabwe,1,2002
22038,Uruguay,Colombia,-1,2002
22039,Venezuela,Bolivia,-1,2002
22040,Vietnam,Turkmenistan,-1,2002
22041,Iran,Kyrgyzstan,1,2002
22042,Maldives,Syria,-1,2002
22043,England,Brazil,-1,2002
22044,Argentina,Ecuador,-1,2002
22045,Australia,Solomon Islands,1,2002
22046,Chile,Paraguay,-1,2002
22047,France,Italy,-1,2002
22048,Iceland,Lithuania,-1,2002
22049,Iran,Maldives,1,2002
22050,Kyrgyzstan,Syria,1,2002
22051,New Zealand,Papua New Guinea,1,2002
22052,Pakistan,Kazakhstan,-1,2002
22053,Bolivia,Venezuela,1,2002
22054,Croatia,Turkey,-1,2002
22055,Ghana,Serbia,-1,2002
22056,South Korea,Egypt,1,2002
22057,Peru,Uruguay,1,2002
22058,Australia,Tahiti,1,2002
22059,Brazil,Costa Rica,1,2002
22060,Iran,Syria,-1,2002
22061,Maldives,Kyrgyzstan,-1,2002
22062,Mexico,Colombia,1,2002
22063,Yemen,Indonesia,-1,2002
22064,Argentina,Chile,1,2002
22065,Egypt,Serbia,-1,2002
22066,South Korea,Ghana,1,2002
22067,Paraguay,Ecuador,-1,2002
22068,Poland,Georgia,1,2002
22069,Bolivia,Peru,1,2002
22070,Fiji,Papua New Guinea,1,2002
22071,Japan,Turkey,1,2002
22072,Mozambique,Tanzania,1,2002
22073,Solomon Islands,Tahiti,1,2002
22074,Uruguay,Venezuela,1,2002
22075,Brazil,Mexico,1,2002
22076,Colombia,Costa Rica,1,2002
22077,Egypt,Ghana,1,2002
22078,South Korea,Serbia,-1,2002
22079,Argentina,Paraguay,-1,2002
22080,Australia,Solomon Islands,1,2002
22081,Chile,Ecuador,-1,2002
22082,United States,Israel,1,2002
22083,Bolivia,Uruguay,1,2002
22084,New Zealand,Fiji,1,2002
22085,Peru,Venezuela,1,2002
22086,Australia,Tahiti,1,2002
22087,Brazil,Colombia,1,2002
22088,Mexico,Costa Rica,-1,2002
22089,Iraq,Pakistan,1,2002
22090,Uzbekistan,Indonesia,1,2002
22091,Antigua and Barbuda,Saint Lucia,-1,2002
22092,Bolivia,Colombia,1,2002
22093,Malawi,Mauritius,1,2002
22094,Morocco,Egypt,1,2002
22095,Papua New Guinea,Fiji,-1,2002
22096,Peru,Argentina,1,2002
22097,Tahiti,Solomon Islands,-1,2002
22098,Angola,Ghana,1,2002
22099,Antigua and Barbuda,Saint Lucia,1,2002
22100,Brazil,Paraguay,1,2002
22101,Cameroon,Gabon,-1,2002
22102,China PR,Vietnam,1,2002
22103,Ecuador,Mexico,-1,2002
22104,Estonia,Andorra,1,2002
22105,Ivory Coast,Algeria,1,2002
22106,Japan,Macau,1,2002
22107,Lebanon,Kuwait,-1,2002
22108,Liberia,DR Congo,1,2002
22109,Mali,Benin,1,2002
22110,Mozambique,Zambia,-1,2002
22111,Nepal,Oman,-1,2002
22112,Senegal,Ethiopia,1,2002
22113,Tajikistan,Turkmenistan,1,2002
22114,Tanzania,Togo,1,2002
22115,Bolivia,Mexico,1,2002
22116,Japan,Nepal,1,2002
22117,Latvia,Andorra,1,2002
