,home_team,away_team,home_win,year
244,Brazil,Korea DPR,1,2014
245,Netherlands,Denmark,1,2014
246,Japan,Cameroon,1,2014
247,Italy,Paraguay,-1,2014
248,Algeria,Slovenia,-1,2014
249,Serbia,Ghana,-1,2014
250,Germany,Australia,1,2014
251,Korea Republic,Greece,1,2014
252,Argentina,Nigeria,1,2014
253,England,United States,-1,2014
254,South Africa,Mexico,-1,2014
255,Uruguay,France,-1,2014
256,Italy,France,-1,2010
257,Germany,Portugal,1,2010
258,Portugal,France,-1,2010
259,Germany,Italy,-1,2010
260,England,Portugal,-1,2010
261,Brazil,France,-1,2010
262,Germany,Argentina,-1,2010
263,Italy,Ukraine,1,2010
264,Brazil,Ghana,1,2010
265,Spain,France,-1,2010
266,Italy,Australia,1,2010
267,Switzerland,Ukraine,-1,2010
268,England,Ecuador,1,2010
269,Portugal,Netherlands,1,2010
270,Germany,Sweden,1,2010
271,Argentina,Mexico,1,2010
272,Saudi Arabia,Spain,-1,2010
273,Ukraine,Tunisia,1,2010
274,Togo,France,-1,2010
275,Switzerland,Korea Republic,1,2010
276,Ghana,United States,1,2010
277,Czech Republic,Italy,-1,2010
278,Japan,Brazil,-1,2010
279,Croatia,Australia,-1,2010
280,Portugal,Mexico,1,2010
281,IR Iran,Angola,-1,2010
282,Côte d'Ivoire,Serbia and Montenegro,1,2010
283,Netherlands,Argentina,-1,2010
284,Costa Rica,Poland,-1,2010
285,Ecuador,Germany,-1,2010
286,Paraguay,Trinidad and Tobago,1,2010
287,Sweden,England,-1,2010
288,Togo,Switzerland,-1,2010
289,Saudi Arabia,Ukraine,-1,2010
290,Spain,Tunisia,1,2010
291,Japan,Croatia,-1,2010
292,Brazil,Australia,1,2010
293,France,Korea Republic,-1,2010
294,Portugal,IR Iran,1,2010
295,Czech Republic,Ghana,-1,2010
296,Italy,United States,-1,2010
297,Argentina,Serbia and Montenegro,1,2010
298,Netherlands,Côte d'Ivoire,1,2010
299,Mexico,Angola,-1,2010
300,Ecuador,Costa Rica,1,2010
301,England,Trinidad and Tobago,1,2010
302,Sweden,Paraguay,1,2010
303,Spain,Ukraine,1,2010
304,Tunisia,Saudi Arabia,-1,2010
305,Germany,Poland,1,2010
306,Korea Republic,Togo,1,2010
307,France,Switzerland,-1,2010
308,Brazil,Croatia,1,2010
309,Australia,Japan,1,2010
310,United States,Czech Republic,-1,2010
311,Italy,Ghana,1,2010
312,Serbia and Montenegro,Netherlands,-1,2010
313,Mexico,IR Iran,1,2010
314,Angola,Portugal,-1,2010
315,England,Paraguay,1,2010
316,Trinidad and Tobago,Sweden,-1,2010
317,Argentina,Côte d'Ivoire,1,2010
318,Germany,Costa Rica,1,2010
319,Poland,Ecuador,-1,2010
320,Germany,Brazil,-1,2006
321,Korea Republic,Türkiye,-1,2006
322,Brazil,Türkiye,1,2006
323,Germany,Korea Republic,1,2006
324,Spain,Korea Republic,-1,2006
325,Senegal,Türkiye,-1,2006
326,England,Brazil,-1,2006
327,Germany,United States,1,2006
328,Japan,Türkiye,-1,2006
329,Korea Republic,Italy,1,2006
330,Mexico,United States,-1,2006
331,Brazil,Belgium,1,2006
