Q_WR,Q_GR,F_Rank,F_Point,F_Rd,F_Pd,Avg_Apps,Avg_Age,Avg_Famous,FS_0,FS_1,FS_2,FS_3,FS_4,FS_5,FS_6,FS_7,FS_8,FS_9,FS_10,FS_11,FS_12,FS_13,Result,home_rate
-0.10999999999999999,1.058700209643606,5.66,-87.0,17.240000000000002,-454.41999999999996,-0.15385000000000004,1.1199999999999974,2,-1.3400000000000034,-0.46000000000000796,-0.45999999999999375,-0.6599999999999966,-3.039999999999992,5.920000000000002,1.9300000000000068,2.0800000000000125,-5.539999999999992,1.6899999999999977,-1.9599999999999937,-0.25,-1.940000000000012,-0.8999999999999986,1,0.0
0.030000000000000027,-1.5761035007610353,-27.33,149.68000000000006,24.0,-345.82000000000005,0.23077,1.110000000000003,1,0.7599999999999909,4.8500000000000085,3.1499999999999986,-0.5900000000000034,-0.6700000000000017,5.590000000000003,2.549999999999997,4.919999999999995,5.289999999999992,1.4099999999999966,0.6199999999999903,-5.6,3.3800000000000026,7.1100000000000065,1,1.0
0.12,-0.22536687631027297,-35.66,270.3599999999999,17.34,-293.97,0.42308,0.38000000000000256,5,7.759999999999991,8.850000000000009,5.149999999999999,8.219999999999999,9.560000000000002,2.3200000000000003,4.969999999999999,5.029999999999994,10.259999999999991,2.950000000000003,5.72999999999999,-2.799999999999997,9.470000000000006,11.020000000000003,1,1.0
-0.020000000000000018,2.409436834094368,-2.67,33.679999999999836,10.58,-402.56999999999994,0.038459999999999994,0.389999999999997,6,5.659999999999997,3.539999999999992,1.5400000000000063,8.150000000000006,7.190000000000012,2.6499999999999986,4.3500000000000085,2.190000000000012,-0.5699999999999932,3.230000000000004,3.1500000000000057,2.5500000000000025,4.1499999999999915,3.009999999999998,1,1.0
-0.16000000000000003,-0.47635933806146546,32.66,-186.23000000000002,-28.17,528.27,-0.38461,-0.5700000000000003,-9,-5.609999999999999,-7.579999999999998,-5.649999999999999,-6.509999999999991,-6.52000000000001,-5.219999999999999,-1.8500000000000085,-9.21,-3.7099999999999937,-6.349999999999994,-1.0699999999999932,2.8200000000000003,-5.970000000000006,-6.290000000000006,1,1.0
0.030000000000000027,0.7230028101164194,1.0,-47.289999999999964,2.58,-68.96000000000004,-0.07693000000000005,-0.15000000000000213,8,-1.1099999999999994,-0.9200000000000017,-1.230000000000004,-1.730000000000004,-1.730000000000004,5.420000000000002,-4.189999999999998,3.730000000000004,-5.199999999999989,1.539999999999992,-5.6499999999999915,1.6599999999999966,0.30999999999998806,-0.5499999999999972,-1,0.0
-0.08999999999999997,-1.6114570361145704,8.33,-127.15999999999985,-2.67,178.08999999999997,-0.038459999999999994,-0.5799999999999983,-6,-7.329999999999998,-4.689999999999998,-4.019999999999996,-9.620000000000005,-9.91000000000001,-3.1899999999999977,-4.38000000000001,-5.609999999999999,-0.5,-5.819999999999993,-6.890000000000001,-3.1800000000000015,-5.909999999999997,-3.6299999999999955,1,0.0
0.13,-1.5800653594771243,4.0,-41.69999999999982,-13.5,475.04999999999995,-0.38462,-1.1199999999999974,-3,-1.3499999999999943,-1.230000000000004,-1.460000000000008,-1.5700000000000074,-0.0800000000000125,-3.4200000000000017,-4.579999999999998,0.5,4.459999999999994,1.5799999999999983,-2.269999999999996,0.7899999999999991,-1.1099999999999994,-0.6499999999999986,-1,0.0
-0.09999999999999998,-0.33219954648526073,31.0,-178.1500000000001,-24.33,432.1,-0.19231,0.9299999999999997,-12,-6.47999999999999,-9.439999999999998,-4.82,-6.739999999999995,-6.180000000000007,-7.830000000000005,-2.8299999999999983,-6.6100000000000065,-2.4299999999999926,-1.259999999999991,-0.9199999999999875,1.9599999999999973,-9.699999999999996,-9.770000000000003,1,0.0
0.28,2.056914893617021,-8.0,48.059999999999945,0.75,-135.43999999999994,0.07691999999999999,-0.1999999999999993,7,3.8400000000000034,1.0799999999999983,1.2399999999999949,5.199999999999989,4.960000000000008,-2.240000000000002,-1.3999999999999915,1.8400000000000034,-5.480000000000004,0.12000000000000455,-3.200000000000003,2.4799999999999986,-0.21999999999999886,-1.8399999999999963,1,1.0
