년도,팀,영문국가명,예선_승률,예선_골득실률,순위,승점,AvgApps,ball_control,dribbling,composure,reaction,crossing,acceleration,stamina,strength,shot_power,sprint_speed,gk,passing,defending,평균나이,top20소속선수수,rank,total_points,rank_diff,points_diff
2002,중국,China PR,0.55,2.754716981132076,31,0,0.0,67.52,62.29,69.38,62.43,59.76,56.57,67.9,69.0,65.24,72.95,28.83,61.43,54.76,26.65,2,64.0,508.67,,
2002,사우디아라비아,Saudi Arabia,0.57,2.7666666666666666,32,0,0.3913,62.1,57.0,66.9,64.05,61.0,57.1,68.0,66.38,68.05,75.1,26.64,55.93,62.43,26.43,0,45.67,562.33,,
2006,이탈리아,Italy,0.59,2.0,1,17,0.52174,73.26,69.13,76.65,72.83,66.09,66.78,74.83,75.0,73.3,81.04,33.48,67.11,68.07,28.78,3,11.33,724.33,5.33,-1.0
2006,프랑스,France,0.59,2.813953488372093,2,15,0.65217,73.65,69.83,75.74,75.39,59.87,58.57,75.78,79.04,73.48,76.65,35.28,64.8,62.54,29.22,4,3.33,800.33,1.33,6.0
2006,독일,Germany,0.6,2.24,3,16,0.47826,69.68,63.14,76.36,68.68,58.68,61.09,73.0,74.23,73.45,79.91,36.82,63.5,60.66,26.96,0,12.0,722.67,3.33,4.34
2006,포르투갈,Portugal,0.55,2.272727272727273,4,13,0.26087,72.52,70.87,78.13,73.87,74.39,69.83,78.87,79.7,75.87,84.3,34.13,71.28,63.93,28.43,8,12.33,714.67,4.0,5.67
2006,브라질,Brazil,0.44,2.7241379310344827,5,12,0.69565,74.09,70.09,77.64,76.77,69.09,64.32,75.18,75.55,72.82,82.05,35.27,68.02,60.39,28.7,3,1.0,847.33,-0.33,29.0
2006,아르헨티나,Argentina,0.51,1.8405797101449275,6,11,0.21739,73.82,64.27,71.95,68.64,65.27,66.36,71.36,76.0,70.73,77.68,28.86,67.59,61.27,26.57,7,3.67,767.67,-0.66,13.34
2006,잉글랜드,England,0.61,2.327586206896552,7,11,0.56522,72.15,67.45,78.75,77.65,59.5,60.45,77.45,80.7,76.85,85.65,34.55,63.9,67.62,25.87,12,8.0,738.33,-3.67,46.0
2006,우크라이나,Ukraine,0.44,1.5918367346938775,8,7,0.0,60.16,58.63,61.05,60.53,54.58,47.58,68.16,66.95,61.32,71.42,29.76,53.39,49.58,26.39,1,57.67,568.0,24.0,-31.0
2006,스페인,Spain,0.68,3.6666666666666665,9,9,0.30435,70.41,65.82,77.73,76.36,66.14,67.18,77.68,79.5,77.23,84.41,37.84,67.07,64.86,26.26,9,4.67,768.33,-0.33,26.0
2006,스위스,Switzerland,0.47,1.2727272727272727,10,8,0.0,65.81,58.0,63.86,61.38,59.0,61.43,65.05,69.24,65.19,68.76,32.07,60.64,60.1,25.52,3,43.67,597.67,-13.0,67.67
2006,네덜란드,Netherlands,0.58,2.7115384615384617,11,7,0.13043,61.14,59.73,70.18,69.91,59.05,58.68,70.32,72.27,68.45,81.14,33.11,58.98,58.66,27.13,6,5.0,758.33,-5.67,60.0
2006,에콰도르,Ecuador,0.4,0.8166666666666667,12,6,0.30435,60.23,59.09,64.73,59.86,56.68,52.91,66.05,69.36,67.32,71.73,30.09,55.52,56.11,27.0,0,36.0,626.0,-19.33,93.0
2006,가나,Ghana,0.48,1.5901639344262295,13,6,0.0,58.05,59.3,61.6,59.9,60.65,52.85,72.0,75.05,63.45,76.75,26.52,54.8,56.18,25.35,3,70.33,531.33,18.0,-10.34
2006,스웨덴,Sweden,0.45,1.6712328767123288,14,5,0.6087,63.41,62.36,65.55,58.09,57.0,55.68,65.36,69.77,65.59,77.77,31.75,60.89,56.34,28.17,2,16.67,703.33,-1.0,43.66
2006,멕시코,Mexico,0.51,2.1123595505617976,15,4,0.52174,60.5,55.36,62.55,53.45,53.82,54.55,55.5,61.64,60.5,63.14,30.8,54.27,51.82,27.91,1,6.0,748.33,-5.0,44.0
2006,호주,Australia,0.54,2.604651162790698,16,4,0.0,57.64,58.82,62.45,61.82,59.09,56.95,64.09,68.09,61.27,73.05,35.07,57.95,55.75,28.65,1,57.0,558.0,-3.67,38.0
2006,대한민국,South Korea,0.45,2.164179104477612,17,4,0.3913,60.0,54.78,64.43,65.61,53.48,50.83,63.91,65.74,60.3,73.13,35.26,54.11,55.83,26.43,1,29.67,656.67,-12.33,83.67
2006,파라과이,Paraguay,0.39,1.0740740740740742,18,3,0.47826,61.65,58.65,61.9,56.6,53.3,55.8,62.6,63.9,59.05,70.35,28.55,57.08,51.78,27.17,0,26.0,663.67,11.0,-12.66
2006,코트디부아르,Ivory Coast,0.53,2.12280701754386,19,3,0.0,60.73,60.77,60.86,59.64,55.32,50.73,63.91,67.77,64.27,69.09,30.34,56.89,57.45,25.96,1,56.33,560.67,9.33,2.0
